variant,seed_index,train_episode_01,train_episode_02,train_episode_03,train_episode_04,train_episode_05,train_episode_06,train_episode_07,train_episode_08,train_episode_09,train_episode_10,frozen_episode_01,frozen_episode_02,frozen_episode_03,frozen_episode_04,frozen_episode_05,frozen_episode_06,frozen_episode_07,frozen_episode_08,frozen_episode_09,frozen_episode_10,frozen_episode_11,frozen_episode_12,frozen_episode_13,frozen_episode_14,frozen_episode_15,frozen_episode_16
memoryless,0,-0.4166666666666665,-0.4999999999999998,-0.4999999999999998,-0.49999999999999983,-0.5416666666666665,-0.4166666666666665,-0.4999999999999998,-0.5833333333333333,-0.49999999999999983,-0.4999999999999998,-0.5416666666666665,-0.5833333333333333,-0.5833333333333333,-0.4999999999999998,-0.5833333333333333,-0.625,-0.7083333333333335,-0.4166666666666665,-0.7083333333333335,-0.4999999999999998,-0.4999999999999998,-0.4166666666666665,-0.625,-0.4999999999999998,-0.5416666666666665,-0.7500000000000002
memoryless,1,-0.625,-0.5416666666666665,-0.45833333333333315,-0.4999999999999998,-0.49999999999999983,-0.45833333333333315,-0.5416666666666665,-0.5833333333333333,-0.5416666666666665,-0.5416666666666665,-0.5416666666666665,-0.5833333333333333,-0.5416666666666665,-0.4999999999999998,-0.49999999999999983,-0.4999999999999998,-0.4999999999999998,-0.4999999999999998,-0.4999999999999998,-0.4999999999999998,-0.49999999999999983,-0.4999999999999998,-0.45833333333333315,-0.5416666666666665,-0.45833333333333315,-0.4999999999999998
memoryless,2,-0.5416666666666665,-0.625,-0.4999999999999998,-0.49999999999999983,-0.625,-0.5833333333333333,-0.4999999999999998,-0.45833333333333315,-0.4999999999999998,-0.49999999999999983,-0.4999999999999998,-0.5833333333333333,-0.45833333333333315,-0.4999999999999998,-0.4999999999999998,-0.45833333333333315,-0.45833333333333315,-0.49999999999999983,-0.4999999999999998,-0.45833333333333315,-0.49999999999999983,-0.45833333333333315,-0.4999999999999998,-0.45833333333333315,-0.4999999999999998,-0.5416666666666665
memoryless,3,-0.7083333333333335,-0.49999999999999983,-0.4999999999999998,-0.4999999999999998,-0.5416666666666665,-0.45833333333333315,-0.49999999999999983,-0.625,-0.45833333333333315,-0.5833333333333333,-0.45833333333333315,-0.45833333333333315,-0.45833333333333315,-0.49999999999999983,-0.49999999999999983,-0.49999999999999983,-0.4999999999999998,-0.4999999999999998,-0.5416666666666665,-0.45833333333333315,-0.4999999999999998,-0.49999999999999983,-0.49999999999999983,-0.49999999999999983,-0.5416666666666665,-0.5416666666666665
memoryless,4,-0.45833333333333315,-0.45833333333333315,-0.6666666666666667,-0.5416666666666665,-0.4999999999999998,-0.5416666666666665,-0.5833333333333333,-0.45833333333333315,-0.49999999999999983,-0.45833333333333315,-0.49999999999999983,-0.4999999999999998,-0.49999999999999983,-0.45833333333333315,-0.45833333333333315,-0.45833333333333315,-0.45833333333333315,-0.5833333333333333,-0.4999999999999998,-0.45833333333333315,-0.4999999999999998,-0.5416666666666665,-0.4999999999999998,-0.4999999999999998,-0.45833333333333315,-0.45833333333333315
tcp,0,-0.45833333333333315,-0.16666666666666666,0.08333333333333331,0.29166666666666663,0.5416666666666665,0.5416666666666665,0.6666666666666667,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
tcp,1,-0.45833333333333315,-0.20833333333333334,0.04166666666666667,0.16666666666666666,0.45833333333333315,0.4999999999999998,0.4999999999999998,0.9583333333333339,0.9166666666666672,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
tcp,2,-0.4166666666666665,-0.4166666666666665,0.12499999999999999,0.1666666666666666,0.33333333333333326,0.4999999999999998,0.7083333333333335,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
tcp,3,-0.5833333333333333,-0.5416666666666665,-0.3749999999999999,-0.4166666666666665,0.4999999999999998,0.4999999999999998,0.6666666666666667,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
tcp,4,-0.3749999999999999,-0.3749999999999999,-0.24999999999999997,0.16666666666666666,0.8750000000000004,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
