variant,seed_index,train_episode_01,train_episode_02,train_episode_03,train_episode_04,train_episode_05,train_episode_06,train_episode_07,train_episode_08,train_episode_09,train_episode_10
tcp,0,-0.6944444444444439,-0.4444444444444446,-0.4444444444444446,-0.2222222222222223,0.055555555555555546,0.27777777777777785,0.5000000000000001,0.6944444444444439,0.5555555555555555,0.8611111111111099
tcp,1,-0.5000000000000001,-0.4444444444444446,-0.4722222222222224,0.6388888888888885,0.27777777777777785,0.6388888888888885,0.5000000000000001,0.9166666666666653,0.9999999999999983,0.9999999999999983
tcp,2,-0.6388888888888885,-0.4722222222222224,-0.4444444444444446,0.27777777777777785,0.16666666666666669,0.8333333333333323,0.7777777777777769,0.9999999999999983,0.9999999999999983,0.9999999999999983
tcp,3,-0.27777777777777785,-0.30555555555555564,-0.4166666666666668,0.4166666666666668,0.4444444444444446,0.5277777777777778,0.5833333333333331,0.8888888888888876,0.9999999999999983,0.944444444444443
tcp,4,-0.4722222222222224,-0.4444444444444446,-0.4444444444444446,-0.027777777777777783,0.13888888888888892,0.25000000000000006,0.3611111111111112,0.9722222222222207,0.944444444444443,0.9166666666666653
tcp_cup,0,-0.6944444444444439,-0.4444444444444446,-0.4166666666666668,0.027777777777777783,0.055555555555555546,0.6944444444444439,0.6111111111111108,0.8888888888888876,0.9999999999999983,0.9999999999999983
tcp_cup,1,-0.5000000000000001,-0.4444444444444446,-0.4722222222222224,0.6388888888888885,0.25000000000000006,0.6388888888888885,0.4722222222222224,0.9999999999999983,0.9999999999999983,0.9999999999999983
tcp_cup,2,-0.6388888888888885,-0.4722222222222224,-0.4444444444444446,0.27777777777777785,0.27777777777777785,0.8888888888888876,0.8333333333333323,0.9999999999999983,0.9999999999999983,0.9999999999999983
tcp_cup,3,-0.27777777777777785,-0.30555555555555564,-0.4166666666666668,0.4166666666666668,0.4444444444444446,0.5277777777777778,0.5833333333333331,0.8055555555555546,0.8611111111111099,0.944444444444443
tcp_cup,4,-0.4722222222222224,-0.4444444444444446,-0.4444444444444446,-0.027777777777777783,0.1944444444444445,0.16666666666666669,0.4722222222222224,0.944444444444443,0.9166666666666653,0.9166666666666653
